Day of Year,Year,Month,Day,First Hour of Period,Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Average Wind Speed (Day),Sky Cover,Visibility,Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated
328,2008,11,23,22,False,1.117845118,56,17,4.0,0,10.0,77,0.0,30.05,0
299,2008,10,25,4,False,0.729230769,68,29,4.6,0,10.0,62,0.0,30.02,0
356,2008,12,21,7,True,0.432809773,49,12,5.1,4,10.0,74,0.0,30.19,104
41,2009,2,10,7,True,0.41314554,46,22,10.4,0,10.0,70,5.0,30.18,765
365,2008,12,30,7,True,0.44,50,34,4.6,3,5.0,96,9.0,30.21,15
38,2009,2,7,4,False,0.702531646,55,32,5.3,3,10.0,86,10.0,29.84,0
4,2009,1,4,16,True,0.492227979,42,27,2.4,3,10.0,52,0.0,30.17,6851
260,2008,9,16,13,True,0.075471698,59,28,12.7,1,10.0,63,21.0,29.94,28148
23,2009,1,23,19,True,0.758278146,54,32,2.7,4,4.0,96,0.0,30.04,0
259,2008,9,15,16,True,0.315436242,60,28,12.6,1,10.0,70,22.0,29.92,13397
200,2009,7,19,4,False,0.572748268,64,30,13.1,2,10.0,93,11.0,29.88,0
212,2009,7,31,13,True,0.052009456,62,28,12.8,1,10.0,61,16.0,29.97,34021
46,2009,2,15,22,False,0.978461538,49,13,16.6,4,5.0,93,7.0,29.62,0
101,2009,4,11,19,True,0.523017903,54,27,18.0,3,10.0,83,16.0,30.16,738
123,2009,5,3,22,False,0.713598075,59,23,9.8,2,10.0,96,8.0,30.11,0
346,2008,12,11,1,False,1.046875,50,29,4.9,0,10.0,80,0.0,30.22,0
24,2009,1,24,10,True,0.135313531,52,27,10.0,4,6.0,93,10.0,30.18,1483
164,2009,6,13,13,True,0.056433409,64,26,10.1,3,10.0,55,16.0,29.98,32263
327,2008,11,22,16,True,0.510067114,54,28,6.0,3,10.0,67,14.0,30.07,6518
99,2009,4,9,4,False,0.631917632,53,20,8.8,4,10.0,77,5.0,30.03,0
253,2008,9,9,16,True,0.306982872,63,21,10.5,1,10.0,68,20.0,29.74,5208
41,2009,2,10,22,False,0.995305164,46,22,10.4,3,9.0,80,17.0,30.11,0
324,2008,11,19,4,False,0.691666667,54,27,5.7,4,8.0,86,5.0,30.14,0
251,2008,9,7,1,False,0.873036649,62,29,14.9,1,10.0,81,8.0,29.76,0
119,2009,4,29,10,True,0.154313487,54,27,15.2,1,10.0,55,17.0,30.2,28785
58,2009,2,27,19,True,0.675516224,52,32,5.2,3,10.0,67,0.0,30.1,66
246,2008,9,2,10,True,0.166237113,72,29,6.8,0,10.0,64,0.0,29.92,24335
148,2009,5,28,4,True,0.558486239,61,31,8.0,4,10.0,90,0.0,29.87,0
59,2009,2,28,1,False,0.913362702,55,10,3.1,3,10.0,77,6.0,30.11,0
5,2009,1,5,13,True,0.18134715,46,4,4.2,4,1.5,93,0.0,30.16,4988
80,2009,3,21,7,True,0.433060109,52,22,10.9,3,10.0,77,7.0,29.95,892
289,2008,10,15,4,False,0.706845238,68,29,6.4,0,10.0,66,3.0,30.04,0
319,2008,11,14,10,True,0.08852459,66,10,6.5,0,10.0,52,7.0,30.14,17598
120,2009,4,30,4,False,0.59030303,55,27,12.0,1,10.0,77,10.0,30.15,0
246,2008,9,2,1,False,0.862113402,72,29,6.8,0,10.0,67,6.0,29.86,0
156,2009,6,5,22,False,0.671963678,64,26,8.0,3,10.0,78,6.0,29.96,0
359,2008,12,24,13,True,0.191972077,51,14,10.4,4,10.0,77,10.0,29.81,1672
234,2009,8,22,10,True,0.164794007,63,29,14.7,2,10.0,73,17.0,29.89,17165
202,2009,7,21,13,True,0.051044084,59,27,16.1,3,10.0,73,23.0,30.02,32812
30,2009,1,30,4,False,0.717990276,52,29,4.8,0,10.0,83,6.0,30.3,0
264,2008,9,20,7,True,0.413369714,65,28,10.3,4,10.0,84,6.0,30.03,650
178,2009,6,27,1,False,0.759593679,70,30,9.7,0,10.0,80,9.0,29.88,0
157,2009,6,6,10,True,0.145289444,62,28,10.6,3,10.0,63,14.0,29.96,30094
353,2008,12,18,16,True,0.511343805,47,20,8.7,4,10.0,69,11.0,30.14,3407
290,2008,10,16,1,False,0.97761194,69,29,4.1,0,10.0,67,3.0,30.03,0
92,2009,4,2,22,False,0.771353482,54,27,25.1,2,10.0,80,28.0,29.94,0
5,2009,1,5,4,False,0.751295337,46,4,4.2,4,10.0,74,3.0,30.2,0
235,2009,8,23,13,True,0.060075094,62,28,11.6,2,10.0,57,24.0,29.92,34720
22,2009,1,22,1,False,1.031561462,53,2,2.6,4,8.0,83,5.0,29.98,0
36,2009,2,5,22,False,1.012738854,55,16,10.3,3,10.0,83,13.0,29.89,0
110,2009,4,20,19,True,0.511830635,75,31,5.5,2,10.0,32,15.0,29.95,822
205,2009,7,24,13,True,0.051282051,59,26,13.1,1,10.0,61,18.0,29.96,33470
343,2008,12,8,16,True,0.515570934,50,33,4.9,2,10.0,71,0.0,30.07,5654
297,2008,10,23,22,False,0.92519084,69,31,4.3,0,10.0,43,0.0,30.0,0
130,2009,5,10,10,True,0.149112426,58,28,15.8,2,10.0,59,16.0,29.98,29303
3,2009,1,3,16,True,0.493955095,44,30,5.2,3,10.0,50,13.0,30.04,7581
301,2008,10,27,10,True,0.176744186,55,29,9.0,4,3.0,87,3.0,30.2,13923
235,2009,8,23,7,True,0.39048811,62,28,11.6,2,10.0,87,6.0,29.91,879
95,2009,4,5,7,True,0.40625,59,23,3.5,1,10.0,71,0.0,30.09,5001
121,2009,5,1,4,False,0.589588378,56,17,8.5,3,10.0,61,6.0,30.06,0
214,2009,8,2,7,True,0.37485172,63,27,13.5,4,10.0,87,11.0,30.02,610
158,2009,6,7,10,True,0.146258503,63,27,16.0,2,10.0,61,17.0,29.98,29291
243,2009,8,31,22,False,0.755441741,63,27,13.9,1,10.0,81,11.0,29.9,0
165,2009,6,14,19,True,0.46275395,64,26,9.6,2,10.0,65,11.0,29.95,2356
332,2008,11,27,13,True,0.20713073,56,29,7.2,4,9.0,80,11.0,30.09,11407
338,2008,12,3,10,True,0.103092784,53,33,3.7,4,1.5,100,3.0,30.2,5857
135,2009,5,15,16,True,0.274325909,58,29,12.9,2,10.0,65,24.0,29.89,19868
30,2009,1,30,22,False,1.032414911,52,29,4.8,1,8.0,93,11.0,30.21,0
360,2008,12,25,4,False,0.74912892,47,28,21.1,4,8.0,90,15.0,29.64,0
203,2009,7,22,1,False,0.784222738,59,27,13.7,4,10.0,90,15.0,29.96,0
127,2009,5,7,4,False,0.579261025,59,27,16.8,4,5.0,96,14.0,30.16,0
110,2009,4,20,1,False,0.833125778,75,31,5.5,0,10.0,61,3.0,30.04,0
309,2008,11,4,16,True,0.488853503,55,29,13.3,3,10.0,64,22.0,30.13,5500
170,2009,6,19,22,False,0.664036077,63,27,23.3,1,10.0,78,30.0,29.71,0
181,2009,6,30,13,True,0.051977401,65,32,8.1,1,10.0,62,8.0,29.81,34320
343,2008,12,8,4,False,0.730103806,50,33,4.9,3,10.0,86,9.0,30.07,0
229,2009,8,17,16,True,0.27798278,62,29,14.2,1,10.0,73,25.0,29.86,19120
179,2009,6,28,22,False,0.662528217,70,30,11.6,1,10.0,81,11.0,29.81,0
253,2008,9,9,7,True,0.404479578,63,21,10.5,4,10.0,81,8.0,29.78,65
258,2008,9,14,22,False,0.796519411,62,29,10.1,1,10.0,83,13.0,29.99,0
196,2009,7,15,13,True,0.050516648,62,30,14.7,1,10.0,59,18.0,29.96,34591
309,2008,11,4,10,True,0.084394904,55,29,13.3,3,10.0,69,13.0,30.13,16038
64,2009,3,5,16,True,0.402597403,52,27,7.3,3,10.0,62,10.0,30.13,15652
315,2008,11,10,19,False,0.787682334,55,28,8.5,3,10.0,78,9.0,30.09,0
134,2009,5,14,16,True,0.274647887,60,27,21.5,2,10.0,68,33.0,30.02,19321
202,2009,7,21,10,True,0.157772622,59,27,16.1,3,10.0,81,14.0,30.02,12441
329,2008,11,24,4,False,0.703204047,54,15,2.7,0,9.0,89,5.0,30.05,0
318,2008,11,13,1,False,0.972176759,60,28,6.0,1,10.0,93,0.0,30.23,0
131,2009,5,11,10,True,0.148760331,57,27,23.5,3,10.0,65,21.0,30.01,28418
271,2008,9,27,13,True,0.083798883,66,29,9.1,1,10.0,56,6.0,29.9,26026
157,2009,6,6,22,False,0.671963678,62,28,10.6,2,10.0,81,9.0,29.96,0
295,2008,10,21,16,True,0.373292868,64,28,4.0,1,10.0,46,14.0,30.08,8524
158,2009,6,7,22,False,0.670068027,63,27,16.0,1,10.0,78,14.0,29.93,0
107,2009,4,17,10,True,0.161856964,57,28,12.1,3,10.0,67,6.0,30.26,27655
50,2009,2,19,13,True,0.145675266,53,16,3.0,2,10.0,72,3.0,30.18,27043
204,2009,7,23,10,True,0.158139535,60,26,13.6,1,10.0,67,14.0,29.92,17409
30,2009,1,30,19,True,0.740680713,52,29,4.8,0,10.0,77,9.0,30.2,0
277,2008,10,3,1,False,0.940085592,65,19,8.5,4,10.0,90,7.0,29.91,0
254,2008,9,10,13,True,0.071428571,64,28,9.7,1,10.0,59,16.0,29.81,28891
293,2008,10,19,10,True,0.173192771,56,27,11.5,2,10.0,72,8.0,30.1,17121
323,2008,11,18,19,False,0.805647841,57,29,9.3,1,6.0,96,13.0,30.1,0
163,2009,6,12,16,True,0.259887006,62,26,14.0,4,10.0,65,14.0,29.93,17765
339,2008,12,4,16,True,0.516351119,54,6,7.4,0,8.0,67,0.0,30.0,5652
275,2008,10,1,16,True,0.341359773,66,29,7.8,3,10.0,59,16.0,29.92,6135
3,2009,1,3,19,False,0.804835924,44,30,5.2,1,10.0,68,3.0,30.05,0
36,2009,2,5,13,True,0.152866242,55,16,10.3,4,10.0,86,10.0,29.92,13489
228,2009,8,16,10,True,0.164417178,65,30,11.1,2,10.0,61,6.0,29.93,26277
84,2009,3,25,1,False,0.911051213,55,27,16.1,2,10.0,90,7.0,30.17,0
361,2008,12,26,22,False,1.130662021,47,29,4.9,3,10.0,74,0.0,30.32,0
308,2008,11,3,1,False,0.941269841,58,20,10.6,2,10.0,86,0.0,30.06,0
363,2008,12,28,10,True,0.125217391,51,10,2.4,3,10.0,86,8.0,30.39,11039
130,2009,5,10,4,False,0.575147929,58,28,15.8,1,10.0,86,9.0,29.95,0
97,2009,4,7,1,False,0.870466321,56,18,9.9,3,10.0,77,3.0,29.92,0
86,2009,3,27,16,True,0.301608579,62,28,9.9,1,10.0,52,18.0,29.98,17252
13,2009,1,13,13,True,0.17147708,61,13,5.3,0,10.0,35,7.0,30.27,22992
116,2009,4,26,22,False,0.726715686,55,26,14.8,3,10.0,77,14.0,30.02,0
201,2009,7,20,7,True,0.365740741,61,28,14.6,1,8.0,87,13.0,29.96,1553
337,2008,12,2,7,True,0.409948542,56,28,6.9,4,7.0,96,8.0,30.18,0
184,2009,7,3,16,True,0.256235828,61,29,14.4,2,10.0,63,23.0,29.94,21996
134,2009,5,14,13,True,0.063380282,60,27,21.5,2,10.0,65,28.0,30.07,32864
312,2008,11,7,7,True,0.374598071,62,30,5.2,1,9.0,96,0.0,30.22,1309
38,2009,2,7,16,True,0.436708861,55,32,5.3,2,10.0,69,11.0,29.85,9865
272,2008,9,28,16,True,0.336605891,61,30,12.3,1,10.0,70,21.0,29.89,10798
150,2009,5,30,19,True,0.472,61,26,11.2,2,9.0,80,14.0,29.97,2396
18,2009,1,18,4,False,0.739495798,55,14,2.5,0,8.0,89,0.0,30.23,0
7,2009,1,7,7,True,0.439862543,49,1,3.8,4,5.0,89,3.0,30.26,0
21,2009,1,21,22,False,1.063227953,55,4,2.4,4,10.0,83,7.0,30.0,0
193,2009,7,12,22,False,0.668571429,62,28,16.1,0,10.0,78,17.0,30.05,0
132,2009,5,12,1,False,0.785377358,56,27,19.0,3,10.0,83,25.0,30.04,0
69,2009,3,10,10,True,0.19858156,48,27,6.3,1,10.0,71,3.0,30.2,24464
186,2009,7,5,10,True,0.152099886,61,27,15.1,2,10.0,70,17.0,30.02,10324
356,2008,12,21,19,False,0.823734729,49,12,5.1,4,4.0,100,10.0,29.9,0
296,2008,10,22,13,True,0.100456621,68,14,2.7,0,10.0,17,0.0,30.04,25219
202,2009,7,21,22,False,0.6774942,59,27,16.1,3,10.0,87,17.0,29.97,0
293,2008,10,19,7,True,0.444277108,56,27,11.5,4,10.0,83,3.0,30.08,385
246,2008,9,2,22,False,0.761597938,72,29,6.8,0,10.0,75,5.0,29.85,0
319,2008,11,14,19,False,0.796721311,66,10,6.5,0,10.0,38,9.0,30.06,0
28,2009,1,28,7,True,0.429738562,49,27,4.7,0,10.0,86,3.0,30.5,0
362,2008,12,27,19,False,0.817073171,45,12,1.3,3,10.0,77,0.0,30.36,0
7,2009,1,7,19,False,0.797250859,49,1,3.8,0,9.0,86,6.0,30.17,0
201,2009,7,20,13,True,0.050925926,61,28,14.6,1,10.0,65,18.0,30.0,34718
134,2009,5,14,10,True,0.147887324,60,27,21.5,2,10.0,72,16.0,30.08,28562
205,2009,7,24,4,False,0.578088578,59,26,13.1,4,10.0,86,11.0,29.93,0
262,2008,9,18,1,False,0.900949796,60,26,7.9,1,10.0,78,6.0,30.01,0
83,2009,3,24,22,False,0.790257104,52,27,10.7,2,10.0,86,11.0,30.18,0
149,2009,5,29,1,False,0.764032073,62,30,7.2,3,10.0,90,7.0,29.94,0
345,2008,12,10,16,True,0.515625,51,12,4.0,1,9.0,78,6.0,30.26,5430
43,2009,2,12,10,True,0.130434783,49,22,6.0,2,10.0,77,5.0,30.2,14244
207,2009,7,26,10,True,0.159064327,63,30,13.0,1,10.0,70,6.0,30.01,27417
155,2009,6,4,7,True,0.35,62,27,8.6,4,10.0,72,10.0,29.98,204
20,2009,1,20,13,True,0.165551839,55,13,1.5,1,10.0,37,3.0,30.09,23223
8,2009,1,8,10,True,0.132075472,48,4,3.8,3,2.5,83,5.0,30.22,8436
162,2009,6,11,13,True,0.057627119,63,26,16.3,2,10.0,57,25.0,29.98,33064
117,2009,4,27,1,False,0.814407814,52,26,16.8,4,10.0,77,11.0,30.02,0
338,2008,12,3,1,False,1.030927835,53,33,3.7,0,8.0,90,5.0,30.17,0
48,2009,2,17,13,True,0.146788991,51,18,11.8,4,10.0,74,17.0,29.92,5403
37,2009,2,6,19,True,0.723809524,53,13,7.5,4,10.0,86,6.0,29.8,0
94,2009,4,4,7,True,0.408616188,53,28,6.0,0,10.0,77,0.0,30.04,5397
220,2009,8,8,10,True,0.162454874,67,30,9.8,1,8.0,73,5.0,30.02,26346
329,2008,11,24,22,False,1.118043845,54,15,2.7,3,10.0,78,0.0,30.0,0
35,2009,2,4,22,False,1.015974441,53,20,4.5,4,10.0,44,20.0,29.9,0
328,2008,11,23,10,True,0.094276094,56,17,4.0,1,8.0,72,7.0,30.06,15727
37,2009,2,6,16,True,0.438095238,53,13,7.5,4,10.0,77,7.0,29.79,7204
194,2009,7,13,22,False,0.668957617,70,28,10.6,0,10.0,65,9.0,29.89,0
221,2009,8,9,4,False,0.597104946,71,29,9.7,0,10.0,87,0.0,29.93,0
300,2008,10,26,1,False,1.009259259,60,29,11.3,0,9.0,83,11.0,30.04,0
214,2009,8,2,13,True,0.052194543,63,27,13.5,1,10.0,63,16.0,30.0,30137
165,2009,6,14,7,True,0.349887133,64,26,9.6,3,10.0,70,7.0,29.97,5766
69,2009,3,10,22,False,0.822695035,48,27,6.3,3,10.0,71,6.0,30.09,0
132,2009,5,12,16,True,0.275943396,56,27,19.0,2,10.0,50,30.0,30.01,20073
296,2008,10,22,19,True,0.648401826,68,14,2.7,0,10.0,28,0.0,30.03,0
114,2009,4,24,7,True,0.379310345,53,27,24.4,4,10.0,71,26.0,30.01,1336
84,2009,3,25,22,False,0.787061995,55,27,16.1,2,10.0,86,25.0,30.1,0
324,2008,11,19,19,False,0.808333333,54,27,5.7,3,10.0,90,10.0,30.14,0
260,2008,9,16,4,False,0.652291105,59,28,12.7,3,10.0,83,9.0,29.96,0
128,2009,5,8,4,False,0.577883472,61,28,15.3,0,10.0,86,8.0,30.02,0
118,2009,4,28,1,False,0.812423873,53,27,14.5,2,10.0,74,18.0,30.05,0
76,2009,3,17,7,True,0.440443213,58,28,9.0,4,10.0,90,0.0,30.3,388
187,2009,7,6,1,False,0.766174801,62,27,15.8,4,10.0,75,11.0,30.04,0
147,2009,5,27,1,False,0.765786452,60,30,11.4,0,10.0,83,10.0,29.84,0
53,2009,2,22,10,True,0.124437781,56,15,9.4,4,4.0,93,7.0,29.99,133
68,2009,3,9,13,True,0.056899004,49,29,13.2,1,10.0,45,15.0,30.12,32890
181,2009,6,30,4,True,0.55819209,65,32,8.1,1,10.0,87,6.0,29.79,0
328,2008,11,23,1,False,1.003367003,56,17,4.0,0,10.0,93,5.0,30.07,0
234,2009,8,22,4,False,0.61423221,63,29,14.7,1,10.0,84,8.0,29.83,0
109,2009,4,19,22,False,0.73875,69,30,3.9,0,10.0,51,5.0,30.04,0
196,2009,7,15,10,True,0.156142365,62,30,14.7,1,10.0,63,14.0,29.96,20080
184,2009,7,3,22,False,0.664399093,61,29,14.4,2,10.0,83,15.0,29.98,0
229,2009,8,17,19,True,0.499384994,62,29,14.2,3,10.0,87,18.0,29.86,1132
234,2009,8,22,16,True,0.284644195,63,29,14.7,3,10.0,68,17.0,29.86,17506
234,2009,8,22,7,True,0.389513109,63,29,14.7,2,9.0,84,7.0,29.88,1709
109,2009,4,19,1,False,0.83625,69,30,3.9,0,10.0,75,0.0,30.07,0
2,2009,1,2,4,False,0.750865052,51,25,10.3,4,1.75,96,9.0,30.02,0
235,2009,8,23,19,True,0.510638298,62,28,11.6,3,10.0,83,11.0,29.91,1261
158,2009,6,7,7,True,0.350340136,63,27,16.0,2,10.0,67,16.0,29.97,2729
79,2009,3,20,16,True,0.305898491,54,27,15.6,3,9.0,83,24.0,29.91,16800
306,2008,11,1,10,True,0.178233438,63,16,12.8,4,3.0,87,15.0,29.99,1054
219,2009,8,7,4,False,0.594237695,64,27,16.1,4,10.0,84,16.0,30.02,0
366,2008,12,31,1,False,1.064236111,48,30,4.1,3,7.0,96,7.0,30.2,0
277,2008,10,3,22,False,0.857346648,65,19,8.5,4,3.0,90,13.0,29.75,0
342,2008,12,7,7,True,0.416234888,50,27,6.6,2,4.0,96,6.0,30.13,140
181,2009,6,30,19,True,0.458757062,65,32,8.1,1,10.0,70,10.0,29.78,2137
13,2009,1,13,10,True,0.134125637,61,13,5.3,0,10.0,46,9.0,30.33,12826
272,2008,9,28,13,True,0.084151473,61,30,12.3,1,10.0,63,20.0,29.9,26823
20,2009,1,20,10,True,0.135451505,55,13,1.5,1,10.0,55,3.0,30.17,13558
250,2008,9,6,22,False,0.771838331,75,30,8.6,0,10.0,65,8.0,29.76,0
165,2009,6,14,22,False,0.665914221,64,26,9.6,3,10.0,75,6.0,29.96,0
51,2009,2,20,1,False,0.942511346,54,32,1.3,2,10.0,77,3.0,30.17,0
174,2009,6,23,19,True,0.460496614,66,30,11.5,1,10.0,70,17.0,29.73,1990
52,2009,2,21,1,False,0.938253012,55,14,6.9,1,10.0,83,3.0,30.06,0
198,2009,7,17,1,False,0.778801843,62,30,13.7,1,10.0,93,13.0,30.01,0
250,2008,9,6,16,True,0.302477184,75,30,8.6,0,10.0,39,18.0,29.75,14835
123,2009,5,3,7,True,0.369434416,59,23,9.8,4,4.0,93,13.0,30.1,843
221,2009,8,9,13,True,0.054282268,71,29,9.7,1,10.0,32,20.0,29.91,31531
73,2009,3,14,19,True,0.56162465,51,27,12.9,4,10.0,74,13.0,30.04,229
113,2009,4,23,7,True,0.380246914,57,26,10.4,3,10.0,77,7.0,29.94,867
265,2008,9,21,1,False,0.906849315,63,27,14.4,3,10.0,87,8.0,29.97,0
38,2009,2,7,7,True,0.417721519,55,32,5.3,2,10.0,86,7.0,29.86,501
255,2008,9,11,13,True,0.071618037,61,29,11.4,1,10.0,68,21.0,29.84,27641
143,2009,5,23,4,True,0.562355658,53,24,12.7,4,10.0,86,7.0,29.93,0
51,2009,2,20,13,True,0.146747352,54,32,1.3,3,10.0,60,0.0,30.13,0
361,2008,12,26,10,True,0.12369338,47,29,4.9,1,10.0,68,0.0,30.25,13246
361,2008,12,26,4,False,0.75087108,47,29,4.9,0,10.0,71,9.0,30.09,0
93,2009,4,3,19,True,0.533420708,51,28,18.0,0,10.0,69,18.0,29.95,561
278,2008,10,4,4,False,0.683834049,64,26,14.4,4,7.0,90,17.0,29.75,0
212,2009,7,31,1,False,0.799054374,62,28,12.8,4,10.0,87,8.0,29.94,0
202,2009,7,21,7,True,0.366589327,59,27,16.1,4,9.0,90,17.0,30.0,692
12,2009,1,12,7,True,0.439522998,59,9,9.5,2,10.0,48,8.0,30.29,128
330,2008,11,25,16,True,0.511824324,55,36,3.3,4,6.0,81,6.0,29.98,915
307,2008,11,2,4,False,0.653481013,62,23,8.1,3,10.0,90,5.0,29.96,0
163,2009,6,12,7,True,0.350282486,62,26,14.0,4,10.0,75,10.0,29.94,4016
270,2008,9,26,10,True,0.168289291,66,29,10.7,1,10.0,68,6.0,29.95,22534
265,2008,9,21,16,True,0.326027397,63,27,14.4,2,10.0,70,24.0,29.96,12816
194,2009,7,13,19,True,0.46277205,70,28,10.6,0,10.0,54,24.0,29.88,1753
23,2009,1,23,16,True,0.460264901,54,32,2.7,4,3.0,96,0.0,30.02,1871
97,2009,4,7,16,True,0.295336788,56,18,9.9,3,10.0,60,20.0,29.92,11529
63,2009,3,4,16,True,0.404347826,50,18,7.9,3,10.0,55,11.0,30.03,12898
258,2008,9,14,4,False,0.649263722,62,29,10.1,4,10.0,87,3.0,29.94,0
31,2009,1,31,13,True,0.156704362,51,28,5.0,0,7.0,80,5.0,30.14,24563
69,2009,3,10,7,True,0.453900709,48,27,6.3,0,10.0,77,6.0,30.18,2552
71,2009,3,12,7,True,0.449929478,51,28,9.5,1,10.0,89,5.0,30.1,1452
238,2009,8,26,7,True,0.392676768,62,30,12.1,4,9.0,87,5.0,30.02,1245
48,2009,2,17,1,False,0.95412844,51,18,11.8,3,10.0,86,14.0,29.74,0
328,2008,11,23,16,True,0.511784512,56,17,4.0,1,10.0,50,0.0,29.99,5778
341,2008,12,6,16,True,0.515517241,51,3,3.6,1,8.0,72,3.0,30.18,5603
148,2009,5,28,10,True,0.145642202,61,31,8.0,1,9.0,75,7.0,29.92,10103
106,2009,4,16,4,False,0.615869018,52,27,17.2,2,10.0,83,17.0,30.23,0
179,2009,6,28,1,False,0.759593679,70,30,11.6,0,10.0,65,5.0,29.85,0
130,2009,5,10,7,True,0.362130178,58,28,15.8,2,10.0,75,0.0,29.97,8263
237,2009,8,25,13,True,0.060377358,63,29,9.8,1,10.0,66,6.0,29.96,32513
321,2008,11,16,4,False,0.685950413,63,5,2.0,1,10.0,90,0.0,30.06,0
316,2008,11,11,22,False,1.082926829,57,28,10.2,3,10.0,80,10.0,30.27,0
77,2009,3,18,16,True,0.306629834,58,29,8.0,3,10.0,61,17.0,30.1,13687
215,2009,8,3,13,True,0.052318668,64,27,11.5,1,10.0,59,15.0,30.0,34325
208,2009,7,27,16,True,0.262295082,61,29,14.2,1,10.0,72,26.0,29.88,20769
71,2009,3,12,1,False,0.957686883,51,28,9.5,1,10.0,86,6.0,30.07,0
358,2008,12,23,19,False,0.821989529,47,13,3.6,4,10.0,71,3.0,29.89,0
205,2009,7,24,19,True,0.470862471,59,26,13.1,4,10.0,81,15.0,29.95,1149
361,2008,12,26,19,False,0.817073171,47,29,4.9,3,10.0,71,8.0,30.29,0
141,2009,5,21,22,False,0.68829664,57,30,10.4,1,10.0,83,14.0,29.93,0
350,2008,12,15,22,False,1.141114983,46,21,8.9,2,10.0,89,5.0,29.87,0
10,2009,1,10,7,True,0.439316239,56,8,6.9,0,10.0,61,5.0,30.47,3
80,2009,3,21,19,True,0.550546448,52,22,10.9,4,10.0,80,10.0,29.93,189
260,2008,9,16,19,True,0.5606469,59,28,12.7,1,10.0,80,14.0,29.95,198
268,2008,9,24,16,True,0.330567082,66,29,10.1,1,10.0,49,16.0,29.89,12017
289,2008,10,15,13,True,0.09672619,68,29,6.4,1,10.0,40,0.0,30.03,21210
298,2008,10,24,22,False,0.928024502,68,29,4.9,0,10.0,58,0.0,30.02,0
251,2008,9,7,16,True,0.304973822,62,29,14.9,1,10.0,70,25.0,29.71,15403
129,2009,5,9,22,False,0.704626335,58,28,16.8,2,10.0,80,11.0,29.98,0
275,2008,10,1,4,False,0.678470255,66,29,7.8,1,10.0,78,5.0,29.99,0
314,2008,11,9,4,False,0.668820679,57,28,19.3,3,10.0,83,24.0,29.85,0
260,2008,9,16,7,True,0.409703504,59,28,12.7,4,9.0,83,9.0,29.97,685
136,2009,5,16,1,False,0.778947368,71,30,6.4,0,10.0,75,3.0,29.86,0
24,2009,1,24,1,False,1.02640264,52,27,10.0,4,5.0,96,8.0,30.09,0
293,2008,10,19,16,True,0.368975904,56,27,11.5,3,10.0,83,18.0,30.05,7136
258,2008,9,14,1,False,0.890227577,62,29,10.1,4,10.0,83,5.0,29.94,0
279,2008,10,5,13,True,0.088952654,65,28,11.1,3,10.0,55,15.0,30.0,18931
92,2009,4,2,13,True,0.061760841,54,27,25.1,3,10.0,75,32.0,29.96,33463
310,2008,11,5,19,False,0.777955272,53,30,3.8,4,10.0,58,7.0,30.25,0
176,2009,6,25,19,True,0.459977452,65,26,8.6,2,10.0,72,16.0,29.91,1886
105,2009,4,15,10,True,0.164141414,49,28,20.5,1,10.0,49,21.0,30.11,30072
230,2009,8,18,13,True,0.058024691,62,29,11.5,1,10.0,63,18.0,29.85,31772
152,2009,6,1,4,True,0.556442417,59,27,10.9,4,10.0,83,9.0,29.91,0
220,2009,8,8,16,True,0.270758123,67,30,9.8,1,10.0,55,16.0,29.95,19265
117,2009,4,27,19,True,0.504273504,52,26,16.8,2,10.0,69,11.0,30.03,1308
220,2009,8,8,13,True,0.054151625,67,30,9.8,1,10.0,50,18.0,29.98,31908
101,2009,4,11,13,True,0.062659847,54,27,18.0,2,10.0,56,17.0,30.14,33510
104,2009,4,14,4,False,0.62103929,50,29,26.6,2,10.0,61,16.0,29.96,0
172,2009,6,21,10,True,0.148816234,61,28,15.4,1,10.0,56,5.0,29.89,29346
111,2009,4,21,13,True,0.064596273,74,29,6.7,3,10.0,52,3.0,29.9,24932
326,2008,11,21,16,True,0.50921273,55,28,6.6,1,10.0,60,11.0,30.08,6352
308,2008,11,3,7,True,0.36984127,58,20,10.6,3,10.0,83,5.0,29.99,9
348,2008,12,13,16,True,0.514782609,49,29,15.9,2,10.0,61,16.0,29.85,3618
342,2008,12,7,10,True,0.105354059,50,27,6.6,4,2.5,86,0.0,30.15,12328
314,2008,11,9,16,True,0.494345719,57,28,19.3,3,10.0,78,15.0,29.87,4927
